id,description,product_no,notes
13002,InGaAs Switchable Gain Detector on PCB 800 - 1700 nm 11 MHz 3.14 mm2,PDAPC4,None
13003,InGaAs Switchable Gain Detector on PCB 800 - 1700 nm 11 MHz 3.14 mm2,PDAPC4,None
13080,Foam Swab Lint Free Cleaning Swabsticks for Camera Optical Lens Electronics Detailing Small Hole,B07CCFT1R8,None
13120,Zero-Drift Amplifier 1 Circuit Rail-to-Rail 8-SOIC,505-AD8628WARZ-R7CT-ND,None
13128,"Connector Header Through Hole 10 position 0.050"" (1.27mm)",23-0903259010-ND,None
13139,Terminal Butt Splice Closed End Individual Openings Connector Push In 12-24 AWG Transparent - Orange,2946-221-415/VE00-1000-ND,None
13140,Terminal Butt Splice Closed End Individual Openings Connector Push In 12-24 AWG Transparent - Orange,2946-221-412/VE00-2500-ND,None
13272,Optical Train Mount v4,27RFS9VJ8,None
13306,Optical Train Mount v4,Q40-9225-4009,None
13316,Quartz Tungsten-Halogen Lamp 8-32 Tap,QTH10,None
13349,Champ Lub Reciprocating Compressor Oil,7.28E+11,None
13358,"GG-400 Schott 6""x6"" polished Rectangle",1M9DE09W,None
13546,Portable Electric Heater - Ceramic,amazon,None
13575,"50 mm Square Construction Rail 20"" Long 1/4""-20 Taps",XE50L20,None
13585,Optical Train Mount v4,29HB8F0LH-V1,None
13651,Zero-Drift Amplifier 1 Circuit Rail-to-Rail 8-SOIC,505-AD8628ARZ-REEL7CT-ND,None
13652,Temperature Sensor Analog Local -55°C ~ 130°C 11.77mV/°C SC-70-5,LM20CIM7XCT-ND,None
13676,Screws,90585A021,None
13799,"3x3"" Shipping Cases",PM300NP06,None
13846,Stainless Steel 3-Piece 60 Series Ball Valve Reinforced PTFE Seats 3/4 in. Swagelok Tube Fitting,SS-63TS12,None
13850,"Connector Header Through Hole 10 position 0.050"" (1.27mm)",WM9238-ND,None
13851,Temperature Sensor Analog Local -55°C ~ 130°C 11.77mV/°C SC-70-5,LM20CIM7/NOPBCT-ND,None
13857,Screws,98164A423,None
13890,Routing Clamps Weld-Mount 2 Line Zinc-Plated Steel Top Plate 1/4 ID,3252T111,None
13891,Complete Micropipette Kit: 4 Pipettors (0.5-10μl 10-100μl 100-1000μl 1000-5000μl); Pipette Stand; 3 Racks of 96 Sterile Pipette Tips,None,Ryan placed the order via cc
13892,Optical Chopper System,MC2000B,None
13893,4 dia x.5mm wafer Quartz OD=6 Ref=8 no resist,4 dia x.5mm wafer  Quartz  OD=6  Ref=8  no resist,None
13894,BNC-toBNC Cables 0.2 Cable 60,2249-C-60,None
13895,BNC-toBNC Cables 0.2 Cable 36,2249-C-36,None
13896,BNC-toBNC Cables 0.2 Cable 24,2249-C-24,None
13897,6 Brushed Nickel Cabinet Pulls - 3.8 Hole Center,B08CRJP5FG,None
13898,DB15 Male and Plastic Hoods,B01M5ERKI9,None
13900,18-8 Stainless Steel Button Head Hex Drive Screw 1/4-20 Thread Size 1/2 Long,92949A537,None
13902,Double Sided PCB Board Prototype Kit,B07ZQ7LX14,None
13903,Right-Angle Kinematic Elliptical Mirror Mount with Smooth Cage Rod Bores 30 mm Cage System and SM1 Compatible 8-32 and 1/4-20 Mounting Holes,KCB1EC,None
13905,Check Valvein-line Check Valve 3/4 Female Thread in-line Spring Check Valve Stainless Steel Vertical Valve WOG 1000,B07X8HXHB2,None
13906,10 Pieces XFITTING 3/4 Pex x 3/4 Male NPT Adapter Poly Alloy Pex Male Plastic Male - Crimp Pex B Lead Free Black 10 Packs,B08LFYDHVY,None
13907,Foam Swab Lint Free Cleaning Swabsticks for Camera Optical Lens Electronics Detailing Small Hole,B07CCFT1R8,None
13908,GG-400 Schott 6x6 polished Rectangle,1M9DE09W,None
13909,3x3 Shipping Cases,PM300NP06,None
13910,Stainless Steel Swagelok Tube Fitting Union 3/4 in. Tube OD,SS-1210-6,None
13912,150mm dia. Si Wafers High Reflective Chrome  3.3 +/- 0.2 48  450nm,nan,nan
