description,product_no,(No column name)
"15 Gallon Polyethylene Tamco® Tank - 24"" L x 12"" W x 12"" Hgt.",6308,2
Vibration damping mount,6423K26,2
"Miniature Heat-Shrink Tubing 0.01"" ID Before Shrinking 1 Foot Long",6699T21,2
Neodymium Disc Countersunk Hole Magnets,7.32E+12,2
"Anodized Multipurpose 6061 Aluminum Bar 1/16"" Thick x 12"" Wide 1' Length",7083T15,2
Dominion Energy South Carolina Billing,7-2101-2727-1451,9
Lock-in Amplifier,7265,2
FG Cleanwipes Enhanced Polyester Cellulose Wipes,7-C1E-99L-00,2
"PneumaticPlus PC-1/4-N2 Push to Connect Tube Fitting Male Straight - 1/4"" Tube OD x 1/4"" NPT Thread (Pack of 10)",8.42E+11,2
Panel-Mount D-Sub connector shielded socket db-15,8048N14,2
"Backlit Exit Signs with Emergency Lights (Plastic 8"" x 12"")",8367K21,2
"Flexible LDPE Film Semi-clear White 20' x 100' x 0.006""",8553K515,2
90 Degree Upward Elbow USB A Male x USB A Female,8761K413,2
90 Degree Downward Elbow USB A Male x USB A Female,8761K414,2
IPA-2 (CMOS),9079-03,3
"High-Strength Grade 8 Steel Hex Head Screw Zinc-Aluminum Coated 1/2""-13 Thread 1"" Long",91286A319,2
"Brother Genuine P-touch TZe-231 Laminated Label Maker Tape 0.47""W Black On White (2-pack)",917860,4
PWM32/50 KEYPAD OVERLAY KIT,9-24872,2
Water- and Weather-Resistant Hollow Foam Rubber Surface Mount Seals,93085K67,2
Sump Pumps w/ Basin for Water,9333T11,2
Adapter USB A Recepticle to USB A recepticle,9454521902,2
Crimp On DB-15 connector (male),94575T15,2
"Ceramic Hex Nut 3/8""-16 Thread Size",94635A155,2
HGST Travelstar 7K1000,9SIAD5G9MD4639,2
Medium Wafer Basket,A15-01-0215,2
"Pin Receptacle Connector 0.014"" ~ 0.026"" (0.36mm ~ 0.66mm) No Tail Solder",A24849-ND,2
1 micron Pall Emflon filter,AB1FM3PH1,3
AZ1505 1 gallon,AZ1505-1G,5
AZ151 Resist,AZ1518MIF-1G,2
AZ1518 1 gallon,AZ1518MIF-1G,4
AZ 340 Developer,AZ340,4
AZ400K 1:4 (case of 4 gallons),AZ400K1:4-CS,6
AZ400K 1:4 4 gallons,AZ400K1:4-CS,2
AZ400K 1:4 Photoresist Developer,AZ400K1:4-CS,4
Pelican 1650 Camera Case With Foam Black,B002E6R7NG,2
SP Bel-Art Cuvette Rack; For 10mm Cuvettes 12 Places Stackable Polypropylene,B002VA5UES,2
Stanley Wet/Dry Vacuum 4 Gallon 4 Horsepower Stainless Steel Tank,B006EHYDQA,2
5 Port Switch,B00A128S24,3
Sigma Electric 14345 2-Gang Duplex Cover Grey  Gray,B00C3YDD6O,2
PLA Filament (white),B00J0GMMP6,2
AmazonBasics USB 3.0 Extension Cable - A-Male to A-Female Adapter Cord - 3.0meters,B00NH12O5I,2
Eyourlife Universal 100PSI Pressure Transducer Sender Solenoid for Oil Fuel Gas Air Water E5,B00RCPDPRQ,2
MEAN WELL EDR-120-24 Single Output DIN Rail Power Supply 24V 5 Amp 120W,B00UR98FSS,2
Avery 8-Tab Ultralast Plastic Binder Dividers Multicolor Big Tabs 1 Set (24901),B00XOJ9Z8W,2
3-Shelf Adjustable Heavy Duty Storage Shelving Unit,B01M0XLTT5,2
DB15 Male and Plastic Hoods,B01M5ERKI9,2
Office Chair Caster Wheels for All Floors - Set of 5 Silicon Replacements,B01MXY173R,2
uxcell 47mmx18mm Replacement Foot Pad Black 4pcs,B0711Y6T56,3
Arcshell Rechargeable Long Range Two-Way Radios with Earpiece 2 Pack UHF 400-470Mhz Walkie Talkies Li-ion Battery and Charger Included,B072JJFVJG,2
Hercules Megatape Gray 1/2 in. W x 260 in. L Thread Seal Tape,B0742L1CDG,2
Cyber Acoustics USB Stereo Headset with Headphones and Noise Cancelling Microphone for PCs and Other USB Devices in The Office Classroom or Home (AC-5008A),B074JLB1XP,2
A4 Led Light Box Light Pad New Improved Structure Touch Dimmer 8W Super Bright Max 4500 Lux with Free Carry/Storage Bag 2 Years Warranty (A4 Light Pad),B0755C2CBF,2
Iverntech 1 Spool Acrylic 3D Printer Filament Holder Mount Rack for PLA ABS Wood TPU Nylon Flexible Materials,B076FY6BS6,2
Genuine E3D V6 Socks Pro (Pack of 3) (V6-SOCK-PRO-3PACK),B07779TP4S,2
Moread DisplayPort (DP) to VGA Adapter Gold-Plated Display Port to VGA Adapter (Male to Female) Compatible with Computer Desktop Laptop PC Monitor Projector HDTV - Black,B077D4BYNG,2
Pressure Transducer 0-100PSI,B07952Y5TK,4
Two Pack of Your Cable Store 6 Inch Black USB 2.0 High Speed Male A to Male A Cables,B07BZ2M3WM,2
Foam Swab Lint Free Cleaning Swabsticks for Camera Optical Lens Electronics Detailing Small Hole,B07CCFT1R8,2
Ableconn PEX-MP117 Mini PCI-E to PCI-E Adapter Card,B07JBCL1CJ,2
Anker 4-port USB 3.0 Hub w/ 2ft. Extended cable,B07L32B9C2,2
Coffee,B07LFSVF9P,2
TEEMI Handsfree 2D QR Desktop Barcode Scanner,B07SDS7ZC5,3
100-Pack 2020 2040 2060 Roll in Spring Loaded T Nut M5 for 20x20 20 Series Aluminum Extrusions 6mm Slot Aluminum Profile Accessories (m5),B07VHNGBWJ,2
E3D Prusa MK3 MK3S V6 HotEnd Kit,B07YNHS6F4,3
Double Sided PCB Board Prototype Kit,B07ZQ7LX14,2
uxcell 6063 Aluminum Square Tube 15mmx15mmx1.5mm Wall Thickness 300mm Length Seamless Straight Pipe Tubing 3 Pcs,B07ZVRWJ62,2
Fancasee (2 pack) Replacement 3.5mm x 1.35mm 90 Degree Right Angle DC Power Male Plug Jack,B081TYG48P,2
POSATE Heavyweight Plastic Spoons Clear 100 Count,B085SWM4D7,2
4-20mA Isolator,B0868TW7D4,2
Bates- Foam Paint Brushes Assorted Sizes 20 Pcs,B086JD5BG3,2
SSR-40DA Solid State Relay DC to AC (Input 3-32V DC Output 24-380V AC) with Heat Sink 40A,B08FR4QJRM,2
Right Angle USB A Male to USB C Female Adapter90 Degree USB3.0 to Type C Cable Connector Support unidirectional Sides 5Gbps & Data Transfer for LaptopsPhonePC - 2 Pack (Balck Up&Down Angle),B08PSCL9FC,2
"Arrow Sticker Glow In The Dark Exit Decals 10 Pack 7"" Arrow Photoluminescent Sign Super Hard Strong Vinyl Glows For Up To 8 Hours",B093L7VDHX,3
Tera Upgraded USB 2D QR Barcode Scanner Wired with Stand,B09C1XFQRK,2
Inline On/Off Switch Extension Cord 3-Prong 3 Outlet Household Switchable Power Cord Heavy Duty 23A 125V16A 250V Double Break Switch Extension Cord 40CM Cord40CM,B09M85QY98,3
B3E11112VDC Humphrey Products Pneumatic Directional Valve,B3E11112VDC,2
"Mounting Base 1"" x 2.3"" x 3/8"" 5-pack",BA1S-5P,2
"Mounting Base with Radial Through Slots 2"" x 3"" x 3/8""",BA3,2
Acetone,BA9005-05,4
IPA,BA9079-05,3
IPA - Isopropyl Alcohol,BA9079-05,2
IPA 2,BA9079-05,10
BB1-BOX,BB1-BOX,2
BB1-BOX-FOAM,BB1-BOX-FOAM,3
SWIR Bandpass Filter     BBP-1260-1500 nm (25.4 mm round),BBP-1260-1500 nm,2
ULI-414LIB - USB 2.0 Hub 4-Ports Open Board High Retention Connectors,BB-USBHUB4OEM,2
"5/32"" Balldriver",BD-5/32,2
Variable Height P-Post,BLP01,2
SparkFun Qwiic Mux Breakout - 8 Channel (TCA9548A),BOB-16784,2
Ethanol Absolute (200 proof) Molecular Biology Grade Fisher Bioreagents 500 mL,BP2818500,2
BRIGHT WHITE OPAQUE PETG PRO,Bright White Opaque PETG PRO,2
SMA Male to BNC Male,CA2848,2
1/32 DIN Autotune Temperature/Process Dual Setpoint Controller,CN132,2
30mm Cage Mounting Bracket,CP02B,4
30 mm Cage System Iris Diaphragm (0.8 - 20mm),CP20D,2
"SM1-Threaded 30mm Cage Plate 0.50"" Thick 2 retaining rings 8-32 Tap",CP33T,2
"Zelux 1.6 MP Color CMOS Camera 1/4""-20 Taps",CS165CU,2
Neon Spectral Lamp USB Powered 500 - 1100 nm,CSL1,2
3500µL Macro Fluorescence Cuvette,CV10Q3500FS,2
Cage Mounted Cuvette Holder,CVH100,2
Single substrate dipper,D14-0215,3
Arduino Mega 2560 R3,DEV-11061,2
MOTORplate,DEV-14149,2
Raspberry Pi 3 B+,DEV-14643,2
SparkFun RedBoard Turbo - SAMD21 Development Board,DEV-14812,4
"1/2"" XYZ Dovetail Translation Stages",DT12XYZ,2
Custom Enclosure for Electronics 150 mm x 300 mm x 71 mm Red,EC1530AR,2
Mounting Board for EC1530 Enclosures 130 mm x 200 mm x 1.5 mm,EC1530MB,3
AC Power Inlet,EC1AC,2
"Aluminum Breadboard for EC2530 Enclosure 9.06"" x 9.06"" x 0.37"" 1/4""-20 taps",EC2530BB,3
Enclosure for Customizable Electronics 250mm x 300mm x 135mm Red,EC2530CR,3
15 W +5 V / ±15 V Power Supply Module for Custom Electronics Assemblies,EC3PS,2
Power Supply Modules 100W +5V/±12V,EC4PS,2
ScrubZone Footwear Energize Shoes (White - 11),ENERGIZE,2
"Cage Assembly Rod 1/4"" Long 6mm diam.",ER025,2
"Cage Assembly Rod 1/2"" long 6mm diam. 4 pack",ER05-P4,3
1HP VFD,ESV751N04TXB,2
Fast-changing Filter Wheel (no controller),FW103,3
PG Remover,G050200 16L4PECS,2
Remover PG,G050200 16L4PECS,8
Ushio Lamp (HG USH-350DS),G182538,5
"Rubbermaid® Mobile Workcenter - 32 x 21 x 33""",H-1198,2
Flammable Storage Cabinet,H-1564M-Y,2
Surge Protector - 6 Outlet,H-2786,2
Hydrogen peroxide solution,H3410-1L,2
Step-on Stainless Steel Trash Cans,H-3623,2
"Heavy-Duty Steel Shelving - 60"" x 24"" x 72""",H-4862,2
"Pallet Rack Wire Decking (46"" wide 42"" deep)",H-5724,3
"Stainless Steel Wire Shelving Unit 48"" x 18"" x 54""",H-6944,2
Hard-Wired Exit Sign - Plastic with Emergency Lights Red Letters,H-9045,3
Tabletop Power Strip - 9 Outlet,H-9284,2
180-Piece Shop Tool Set,H-9289,2
UVLamp for Mask Aligner - G182538,HG USH-350DS,2
8-32 Cap Screw Kit,HW-KIT1,2
DI cartridge,IND-DI-MBSC-20BB,2
Right Angle Kinematic Mirror Mount with Tapped Cage Rod Holes SM1 compatible,KCB1,2
"Right-Angle Kinematic Elliptical Mirror Mount with Smooth Cage Rod Bores 30 mm Cage System and SM1 Compatible 8-32 and 1/4""-20 Mounting Holes",KCB1EC,2
30mm Cage Right-angle kinematic OAP Mirror Mount,KCB1P,2
Right- Angle kinematic OAP mirror mount SM1 compatible,KCB1P,2
"1"" UV Fused Silica Plano-Convex Lens Uncoated f=50.2mm",LA4148,2
"F=50.2mm 1"" UV Fused Silica Plano-Convex Lens",LA4148,2
"CleanImage Cleanroom Paper (8.5"" x 11"")",LCIW 2010C,2
30 mm to 60 mm Cage Plate Adapter 8-32 Tap,LCP33,2
Cable and LDS12B Power Supply Bundle for LD1255R Driver and PDAPC Series Photodetectors,LD1255-SUPPLY,2
F=-50.09 mm H=50.8mm L=53mm N-BK7 Plano-Concave Cylindircal Lens Uncoated,LK1792L1,2
Calibration Standard,LWS1-R,2
Wafer Clamp 200mm Ceramic multi wafer,M00001512,2
BHCS M4x7x12 Vented SS,M00002990,2
400um core 0.39 NA Low OH FC/PC to SMA905 Fiber Patch Cable 1m,M76L01,2
NanoMax 300,MAX381,2
Aluminum Breadboard 12 x 12,MB12,2
"Aluminum Breadboard 12"" x 12"" x 1/2"" 1/4""-20 Taps",MB12,2
"Aluminum Breadboard 12"" x 18"" x 1/2"" 1/4""-20 Taps",MB1218,2
"Aluminum Breadboard 6"" x 12"" x 1/2"" 1/4""-20 Taps",MB612F,2
Optical Chopper System,MC2000B,2
Fomblin Oil,MFY25/6BB,2
"1"" diam. 90deg Off-Axis Parabolic Mirror Prot. Silver RFL=1""",MPD119-P01,4
"1"" diam. 90deg Off-Axis Parabolic Mirror Prot. Silver RFL=2""",MPD129-P01,2
Extension Tube,MVL05A,2
"12mm EFL f/1.4 for 2/3"" C-Mount Format Cameras with Lock",MVL12M23,2
"50mm EFL F/2.8 for 2/3"" C-Mount Format Cameras with Lock",MVL50M23,2
6.5X Zoom Lens,MVL6X12Z,3
C-Mount Adapter,MVLCMC,2
"1/2"" Travel Vertical Translation Stage",MVS005,2
Chiller DI Water Cartridge,NC1727526,2
2in Neodymium Magnets,ND077-N52,2
UVFS Substrate,NDUV-1-BLANK-POLISH,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 0.1,NENIR01B,2
25mm Unmounted NIR Absorptive ND Filter OD: 0.3,NENIR03B,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 0.3,NENIR03B,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 0.7,NENIR07B,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 1.0,NENIR10B,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 1.5,NENIR15B,2
Ø25 mm Unmounted NIR Absorptive ND Filter OD: 3.0,NENIR30B,2
LIQUID NITROGEN 230LTRS 350PSI,NI 230LT350,3
LIQUID NITROGEN,NI BLKMB,12
Liquide Nitrogen,NI BLKMB,70
VCR Gaskets,NI-4-VCR-2,2
"4""x4"" Coating Lot Charge High Reflective Chrome >48%@450nm OD  3.3 +/- 0.2 UVFS",None,8
Complete Micropipette Kit: 4 Pipettors (0.5-10μl 10-100μl 100-1000μl 1000-5000μl); Pipette Stand; 3 Racks of 96 Sterile Pipette Tips,None,2
Janitorial Supplies,None,2
Lease (10k),None,38
Monthly Cleaning Service,None,27
NEXT GEN SAFETY ENCLOSURE FOR PRUSA STYLE PRINTERS,None,2
Quarterly On-site Visit,None,5
"TTN215589 LRC Soda Lime Glass Polished Blank 4"" x 4""",None,4
"TTN250670 LRC Soda Lime Glass Polished Blank 4"" x 4""",None,6
"1.5"" mounting post - 6""",P6,2
"1.5"" mounting post base",PB2,2
InGaAs Amplified Detector with TEC 0.9 - 2.57 µm DC-Coupled Amplifier Ø1 mm 100 - 240 VAC,PDA10DT,3
InGaAs Switchable Gain Detector on PCB 900 - 1700 nm 13 MHz 0.8 mm2,PDAPC3,2
InGaAs Switchable Gain Detector on PCB 800 - 1700 nm 11 MHz 3.14 mm2,PDAPC4,2
"1"" protected aluminum elliptical mirror 450-20um",PFE10-G01,2
"Ø1/2"" Post Holder Spring-Loaded Hex-Locking Thumbscrew L = 2"" 5 Pack",PH2-5p,2
3” X 3” shipping cases,PM300NP06,5
"PneumaticPlus PPR2-N02BG-4 Miniature Air Pressure Regulator 1/4"" NPT - Gauge Bracket Low Pressure (3-60 PSI)",PPR2-N02BG-4,2
Qwiic Cable - 50mm,PRT-14426,2
ScienceDesk Monitor Mount,PSY121,2
Quartz Tungsten-Halogen Lamp 8-32 Tap,QTH10,2
"4""x4"" Coating Lot Charge High Reflective Chrome >48%@450nm OD  3.3 +/- 0.2 UVFS",R1DS2-1-OC,2
"TTN215589 LRC Soda Lime Glass Polished Blank 4"" x 4""",R4L4S-1-BLANK-POLISH,9
Protected Silver Reflective Collimator,RC08SMA-P01,2
Floor Standing Equipment Rack,RK3884,2
Fixed Rack Shelf (plain),RK4101,2
"Fixed Rack Shelf Plain 17"" x 11"" Surface",RK4101,3
Toilet Deluxe Toilet Paper,S-10490,5
Plastic Drum - 55 Gallon Closed Top Blue,S-10757BLU,6
3M Headgear,S-12572,2
Air Horn Can and Horn,S-13530,2
"Uline Deluxe Paper Roll Towels - 8"" x 800'",S-13727,3
"Uline Towels for Hands-Free or Auto Dispenser - 8"" x 600'",S-13729,4
"Plastic Stackable Bins - 18 x 8 x 9"" Clear",S-14454C,3
Wire Shelving Label Holders,S-14461,2
SDS Compliance Center,S-15383,2
Steel Drum - 55 Gallon Closed Top Lined,S-16914,2
"Universal Sorbent Pads - 15 x 19"" Medium",S-17294,2
